Code,Title,Credits,AH,SE,SS,ACGH,DD,OL,QL,SL,VL,WC,WE,Desc
AAS 101,"Introduction to Research in the Afro-American Community",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): AAS 010; or Consent of Instructor. Introductory survey of Afro-American Studies methods and techniques; problems and methodology in Afro-American Studies."
AAS 107A,"African Descent Communities & Culture in the Caribbean & Latin America",4,,,,,,,,,,4,,"Lecture/Discussion-4 hour(s). Prerequisite(s): Upper division standing. Origin and development of African descent communities and cultures in the Caribbean, and Latin America. Similarities and differences among African descent communities and cultures in terms of religious practices, music, and national identity."
AAS 107B,"African Descent Communities & Culture in North America",4,4,,4,,4,,,,,,,"Lecture/Discussion-4 hour(s). Prerequisite(s): Upper division standing. Study of the origin and development of African descent communities and cultures in the U.S.A., Canada, and Mexico."
AAS 107C,"African Descent Communities & Culture in Asia",4,4,,4,,,,,,,4,,"Lecture/Discussion-4 hour(s). Study of the origin and development of African Descent communities and cultures in Asia."
AAS 107D,"African Descent Communities & Cultures in Europe",4,4,,4,,,,,,,4,,"Lecture/Discussion-4 hour(s). Study of the origin and development of African Descent communities and cultures in Europe."
AAS 110,"West African Social Organization",4,,,4,,,,,,,4,,"Lecture-4 hour(s). Ecology, population, social and political organization, and culture of West Africa in the precolonial, colonial, and post-colonial periods."
AAS 111,"Cultural Politics in Contemporary Africa",4,4,,4,,,,,,,4,,"Lecture/Discussion-4 hour(s). Prerequisite(s): AAS 012; or upper division standing. Themes and style of new cultural forms in Africa as displayed in art, music, film and writing, especially in regard to blending of indigenous and foreign influences. Social and political forces shaping contemporary cultural expression."
AAS 123,"Black Female Experience in Contemporary Society",4,,,4,4,4,,,,,,,"Lecture-4 hour(s). Prerequisite(s): Upper division standing or consent of instructor. Black female social, intellectual, and psychological development. Black women's contributions in history, literature, and social science; life experiences of Black women and philosophical underpinnings of the feminist movement."
AAS 130,"Education in the African-American Community",4,,,4,,4,,,,,,,"Lecture-2 hour(s); Discussion-1 hour(s); Fieldwork-3 hour(s). Examination of the history of the education of African Americans in the United States. Examination and critique of contemporary theories concerning the schooling of African Americans. (Former AAS 140.)"
AAS 133,"The Black Family In America",4,,,4,4,4,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): Upper division standing or consent of instructor. Analysis of social science research to examine relationship between black (African-descent) family structures, patterns of functioning, and political, economic, and social conditions in the U.S."
AAS 141,"Psychology of the African American Experience",4,,,,,,,,,,,,"Discussion-1 hour(s); Lecture-3 hour(s). Prerequisite(s): AAS 010; or Consent of Instructor. Upper division status. Introduction to the psychological issues faced by African Americans. Description of any disparities in mental health care experienced by African American and Diaspora populations in the United States. Analysis of issues from European/Western and Afrocentric frame of reference. Emphasis on Optimal Theory, a psychological theory based on an Afrocentric world view."
AAS 145A,"Black Social & Political Thought",4,,,4,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): AAS 010 or AAS 080; or Consent of Instructor. Exploration and analysis of Black social and political thought in the Americas."
AAS 145B,"Black Intellectuals",4,,,4,,4,,,,,,4,"Lecture-4 hour(s). Prerequisite(s): (AAS 010, AAS 080, AAS 145A); or Consent of Instructor. Exposition and critical analysis of selected theoretical writings of Black intellectuals, and especially political and social thinkers, in the Americas."
AAS 150A,"Afro-American Visual Arts Tradition: A Historical & Cultural Study",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): Upper division standing. Afro-American visual arts tradition, folk and formal, in historical and cultural context, from 1600 through Reconstruction."
AAS 150B,"Afro-American Visual Arts Tradition: A Historical & Cultural Study",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): Upper division standing. Afro-American visual arts tradition, folk and formal, in historical and cultural context, from Reconstruction to the present."
AAS 151,"Afro-American Vernacular Music & Verbal Arts",4,,,,,,,,,,,,"Lecture-2 hour(s); Discussion-2 hour(s). Socio-political dimensions of Afro-American musical forms like spiritual, work song, minstrelsy blues, rhythm and blues, jazz, gospel, soul and contemporary pop, and related verbal arts like preaching, toasting, rapping."
AAS 152,"Major Voices in Black World Literature",4,4,,,,4,,,,,4,4,"Lecture-2 hour(s); Discussion-1 hour(s); Term Paper. Prerequisite(s): AAS 010 or AAS 012 or AAS 018; Upper division standing. Recurrence of cultural tropes in the works of major black world authors and formation of an African-oriented canon. Principal activities include critical reading and discovery of literature as a cultural resource."
AAS 153,"African Literature",4,4,,,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. Prerequisite(s): Completion of Entry Level Writing Requirement (ELWR). Colonial and post-colonial sub-Saharan African literature and the African oral traditions from which it emerged. Genres and themes of African literature from the 19th century to the present. (Same course as COM 154.)"
AAS 155A,"African-American Dance & Culture in the United States, Brazil & the Caribbean",4,4,,,,,,,,4,4,,"Lecture/Discussion-4 hour(s). Comparative study of the African American dance forms in the U.S.A., Brazil, Haiti, Cuba, Jamaica, Barbados, and Trinidad. Examination of ritual, folk, and popular dance forms and the socio/ historical factors that have influenced these forms. (Same course as DRA 155A.)"
AAS 156,"Language & Identity in Africa & the African Diaspora",4,4,,,,4,,,,,4,,"Lecture/Discussion-4 hour(s). Prerequisite(s): AAS 012; Or upper division standing. Relationship between language and identity in literature from Africa and the African Diaspora. Use of pidgins, Creoles, translation from African languages and impact of language policies."
AAS 157,"Literature & Society in South Africa",4,4,,,,,,,,,4,4,"Lecture/Discussion-4 hour(s). Prerequisite(s): Upper division standing. Political and social developments in 20thcentury South Africa as illustrated by a range of South African writing. Response of different writers to race relations, impact of government policy on types and context of writing."
AAS 160,"African-American Folklore",4,,,,,,,,,,,,"Lecture-2 hour(s); Discussion-1 hour(s); Fieldwork-3 hour(s). Prerequisite(s): AAS 010. Theory and history of African American folklore and folklife, including music, material culture, oral narrative, proverbs, and humor. African and Caribbean cultural influences on New World folk genres will be probed."
AAS 162,"Islam in Africa & the Americas",4,4,,,,,,,,,4,4,"Lecture/Discussion-4 hour(s). Prerequisite(s): RST 060 or AAS 012 or AAS 110. Comparative and historical survey of Islam in the regional and cultural settings of Sub-Saharan Africa and the Americas."
AAS 163,"African Religions in the Americas",4,4,,,,,,,,,4,4,"Lecture/Discussion-4 hour(s). Prerequisite(s): AAS 010; AAS 015; or Consent of Instructor. Comparative study of African religious heritage in the Americas: Jamaica, Trinidad, Cuba, U.S.A., Haiti, and Brazil. Emphasis on the origins and development of Candomble, Santeria, Shango, Vodun, and Rastafarianism in the New World."
AAS 165,"Afro-Christianity & the Black Church",4,,,4,4,4,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): AAS 010; AAS 015; or Consent of Instructor. Upper division standing. Examination of the historical role of Christian belief and practice as well as the institution of the Black Church in the experience of African Americans, from slavery to the present."
AAS 168,"Black Documentary: History & Practice",4,4,,,,4,,,,4,4,,"Lecture-3 hour(s); Laboratory-5 hour(s). Prerequisite(s): FMS 001; AAS 170; and Consent of Instructor. AAS 050 recommended. Study of Black documentary history and understanding of the use of the documentary form for political purposes. Discussion of documentary theory. Each student, singly or in a team, will create and carefully edit a documentary project."
AAS 169,"History of African American Television",4,4,,,,4,,,,4,,4,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): AAS 050 recommended. History of the representation of African Americans in television; how the representations reflect social and political forces in American society. Role of African Americans in actively shaping their representation."
AAS 170,"African-American Film & Video",4,4,,,,4,,,,4,,4,"Lecture-3 hour(s); Film Viewing-3 hour(s). Prerequisite(s): FMS 001; AAS 050 recommended. Comparative approach in the study of fictional film and video dealing with the African American experience drawing on film and cultural studies to examine and discuss selected works."
AAS 171,"Black African & Black European Film & Video",4,4,,,,,,,,4,4,,"Lecture/Discussion-3 hour(s); Film Viewing-3 hour(s); Term Paper. Prerequisite(s): AAS 015 or AAS 050 or ENL or ENL 162; or Consent of Instructor. Comparative approach in the study of dramatic films and videos that treat black life in Africa and Europe. Critical attention focused on the imaginative construction of ethnicity, race, nationality, gender, and sexuality in each particular work."
AAS 172,"Diaspora & New Black Identities",4,,,4,4,4,,,,,,4,"Lecture/Discussion-3 hour(s); Term Paper. Critical analysis about what it means to be Black/African American in the United States today. Topics include old and new diasporas, immigration, national origin, language, religion, class, education, politics, identity and cultural heritage."
AAS 175A,"Black Documentary: History & Theory",4,4,,,,4,,,,4,,4,"Lecture-3 hour(s); Film Viewing-3 hour(s). Prerequisite(s): FMS 001; AAS 170; AAS 050 recommended. Black documentary history and documentary theory. Use of black documentary for political purposes."
AAS 175B,"Black Documentary Practicum",4,4,,,,4,,,,,,,"Lecture-2 hour(s); Laboratory-6 hour(s). Prerequisite(s): AAS 175A; and Consent of Instructor. Creation of documentary projects, with students working in production crews."
AAS 176,"The Politics of Resources",4,,,4,,,,,,,4,,"Lecture/Discussion-4 hour(s). Prerequisite(s): AAS 012 or AAS 110. Limited enrollment. Examination of the ways in which the processes of the extraction, purification and use of natural resources and the complex regimes of valuation and commodification they (re)produce lead to cooperation and conflict in contemporary Africa and beyond."
AAS 177,"Politics of Life in Africa",4,4,,4,,,,,,,4,,"Lecture/Discussion-4 hour(s). Existing (in)capacities in the structures of state and society in Africa for people to live well. Topics include institutions and practices that define state and civil society encounters in Africa; democracy, ethnicity, economic crisis, religion, citizenship, etc. May be taught abroad."
AAS 178,"African Modernity & Globalization",4,4,,4,,,,,,,4,,"Lecture-4 hour(s). Prerequisite(s): AAS 012; or Consent of Instructor. Limited to 80 students. Exploration of modernity and globalization and their dimensions and impacts in/on Africa. Examination of modern necessities and constrains in Africa in relation to (neo)colonialism, transnational encounters, technology, gender, risk, ritual, identity, culture, etc."
AAS 180,"Race & Ethnicity in Latin America",4,,,4,,,,,,,4,4,"Lecture/Discussion-4 hour(s). Social and political effects of racial and ethnic categorization in Latin America, including issues of economic production, citizenship, national belonging, and access to resources. Emphasis is on peoples of African, Indigenous, and Asian descent."
AAS 181,"Hip Hop in Urban America",4,4,,,,4,,,,4,,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): Upper division standing or consent of instructor. Must have Junior or Senior level standing. History, aesthetics, urban context, and economics of hip-hop in the US, and its globalization. Hip-hop's four artistic elements-rap, deejaying, breakdance, and aerosol art-allow the examination of issues of race, ethnicity, and gender in youth culture and American society."
AAS 182,"Hip Hop Culture & Globalization",4,4,,,,,,,,,4,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): AAS 181 preferable, not required. Investigation of hiphop youth cultures outside the United States using globalization and Cultural Studies theories. Analysis of international hip-hop sites in Africa, Asia, Europe, South America, and the Middle East through reading, discussion, and visiting virtual sites."
AAS 185,"Topics in African American Film",4,4,,,,4,,,,4,,4,"Lecture-3 hour(s); Film Viewing-3 hour(s). Prerequisite(s): AAS 170; AAS 050 recommended. Intensive study of special topics in African American film. May be repeated up to 1 time(s)."
AAS 190,"Topics in African & African-Diaspora Studies",4,,,,,,,,,,,,"Lecture/Discussion-3 hour(s); Term Paper-1 hour(s). Prerequisite(s): Upper division standing in African American African Studies (AAS) courses or consent of instructor. Intensive treatment of a special topic or problem in African or African Diaspora Studies. May be repeated up to 1 time(s) when topic differs."
AAS 192,"Internship in African-American & African Studies",1-8,,,,,,,,,,,,"Internship-3-24 hour(s). Prerequisite(s): Consent of Instructor. Completion of 12 units of upper division study in African American & African Studies (AAS) courses; upper division standing. Restricted to African American & African Studies majors and minors. Supervised internship in community, government, or private institutions, in all subject areas offered by the African American & African Studies Program. May be repeated up to 12 unit(s). (P/NP grading only.)"
AAS 197T,"Tutoring in Afro-American Studies",1-5,,,,,,,,,,,,"Tutorial-1-5 hour(s). Prerequisite(s): Consent of major committee; upper division standing with major in African American & African Studies. Leading of small voluntary discussion groups affiliated with one of the department's regular courses. May be repeated up to 6 unit(s). (P/NP grading only.)"
AAS 198,"Directed Group Study",1-5,,,,,,,,,,,,"Variable. Prerequisite(s): Consent of Instructor. Directed group study. May be taught abroad. (P/NP grading only.)"
AAS 199,"Special Study for Advanced Undergraduates",1-5,,,,,,,,,,,,"Variable. Prerequisite(s): Consent of Instructor. (P/NP grading only.)"
AAS 201,"Critical Foundations in African American Studies",4,,,,,,,,,,,,"Seminar-3 hour(s). Prerequisite(s): Graduate standing. Introduction to history of African American Studies. Topics include: research agendas, policy implications, debates, crises, and institutional frameworks."
AAS 202,"Critical Foundations in African Studies",4,,,,,,,,,,,,"Seminar-3 hour(s); Term Paper. Prerequisite(s): Graduate standing. Introduction to the history and current organization of African Studies as area of intellectual investigation. Offers an opportunity to review research agenda and policy implications, debates, crises, and institutional frameworks surrounding the production of knowledge about Africa."
AAS 203,"Critical Foundations in African Diaspora Studies",4,,,,,,,,,,,,"Seminar-3 hour(s); Term Paper. Integrative conceptual framework includes History, Geography, Political Economy, Culture, Aesthetics as tools to investigate the African Diaspora. Engage African Diaspora theories within student's research projects understanding issues developing from the movement of Africans to the rest of the world."
AAS 204,"Methodologies in African American & African Studies",4,,,,,,,,,,,,"Seminar-3 hour(s); Term Paper. Relationship between theory and methodology, with emphasis on identifying relevant methodological approaches and constructing theoretically informed research projects for studying the experience of people of African descent whether on the African continent or in the rest of the world."
AAS 298A,"Directed Group Study in African American & African Diaspora Studies",1-5,,,,,,,,,,,,"Variable-3-15 hour(s). Prerequisite(s): Graduate standing. Group study. May be repeated up to 3 time(s) with consent of instructor. (S/U grading only.)"
AAS 298B,"Directed Group Study in African Studies",1-5,,,,,,,,,,,,"Variable-3-15 hour(s). May be repeated up to 3 time(s) with consent of instructor. (S/U grading only.)"
AAS 299,"Directed Research",1-12,,,,,,,,,,,,"Variable-3-36 hour(s). (S/U grading only.)"
ABG 200A,"Integrated Animal Biology I",3,,,,,,,,,,,,"Lecture/Discussion-3 hour(s). Prerequisite(s): BIS 101; or Consent of Instructor. Or equivalent course; graduate standing. Limited to 20 students; Pass One restricted to Animal Biology Graduate Group students. Natural history, management, historical and current uses, and specialized disciplinary features of model and novel animal systems used in research. Development of conceptual approaches in organismal biology to improve experimental design and interpretation of interdisciplinary research studies."
ABG 200B,"Integrated Animal Biology II",3,,,,,,,,,,,,"Lecture/Discussion-3 hour(s). Prerequisite(s): ABG 200A. Limited enrollment; Pass One restricted to Animal Biology Graduate Group students. Natural history, management, historical and current uses, and specialized disciplinary features of model and novel animal systems used in research. Development of conceptual approaches in organismal biology to improve experimental design and interpretation of interdisciplinary research studies."
ABG 202,"Grant Procurement & Administration",2,,,,,,,,,,,,"Lecture-1 hour(s); Discussion/Laboratory-1 hour(s). Prerequisite(s): ABG 200B. Limited to 12 graduate students; Pass One restricted to Animal Biology Graduate Group students. Topics include: structure of grants, attention to specifications, concise persuasive writing, and grant budgeting. Identify grant opportunities, write a persuasive research grant proposal, and administer grants."
ABG 203,"Advanced Animal Welfare",3,,,,,,,,,,,,"Lecture-3 hour(s). Advanced animal welfare. Key concepts used when evaluating and understanding the welfare of animals kept by humans. Topics include animal pain, stress, cognition, motivation and emotions. Critical discussion of primary literature. May be repeated up to 1 time(s) every other year, when topic differs."
ABG 205,"Advanced Nutritional Energetics",3,,,,,,,,,,,,"Discussion/Laboratory-1 hour(s); Lecture-2 hour(s). Prerequisite(s): (ABI 102, ABI 103, NPB 101); or the equivalent courses. Limited to 30 students. History of nutritional energetics. Evaluation of energy transformations associated with food utilization. Energy expenditures at cellular, tissue, and animal levels as affected by diet and physiological state. Current and future feeding systems."
ABG 211,"Advances in Animal Biotechnology & Genetics",3,,,,,,,,,,,,"Lecture/Discussion-3 hour(s). Prerequisite(s): NPB 121; BIS 101; or Consent of Instructor. Pass One restricted to graduate students. Introduction to advanced techniques used for assisted reproductive technologies in mammals and birds, genetic engineering, gene editing, stem cell biology. Offered in alternate years."
ABG 250,"Mathematical Modeling in Biological Systems",4,,,,,,,,,,,,"Lecture/Discussion-4 hour(s). Prerequisite(s): MAT 016A; MAT 016B; STA 100; Or equivalents required; graduate standing; MAT 016C or equivalent recommended; more than one course in statistics recommended; ABI 102 or BIS 102 recommended or equivalent course in biochemistry. Limited enrollment. Model development and evaluation including sensitivity analyses using R. Four principle modeling methodologies included: algebraic functions of biological processes, physiological-based compartmental models, linear programming and metaanalysis. Fundamental background and understanding of mathematical modeling principles in biological systems."
ABG 255,"Physiology of the Stress Response",2,,,,,,,,,,,,"Lecture/Discussion-2 hour(s). Prerequisite(s): Graduate standing. Definition of Stress; Physiological mechanisms of adaptation to stress; Hormonal control of the systemic stress response; Mechanisms of the cellular stress response; Discussion of current trends in stress physiology and current methods for studying the stress response. (Same course as MCP 255.)"
ABG 290,"Seminar in Animal Biology",1,,,,,,,,,,,,"Seminar-1 hour(s). Prerequisite(s): Graduate standing. Seminar on advanced topics in animal biology. Presentations by members of the Animal Biology Graduate Group and guest speakers. May be repeated for credit. (S/U grading only.)"
ABG 290C,"Research Conference",1,,,,,,,,,,,,"Discussion-1 hour(s). Prerequisite(s): Consent of Instructor. Graduate standing. Student presentations of research in Animal Biology and discussions among participating students and Animal Biology faculty. May be repeated for credit. (S/U grading only.)"
ABG 298,"Group Study in Animal Biology",1-5,,,,,,,,,,,,"Lecture. Prerequisite(s): Consent of Instructor. Graduate standing. May be repeated up to 2 time(s)."
ABG 299,"Research",1-11,,,,,,,,,,,,"Discussion/Laboratory-3-33 hour(s). Prerequisite(s): Consent of Instructor. Graduate standing. Research with a faculty member in Animal Biology Graduate Group. May be repeated for credit. (S/U grading only.)"
ABG 300,"Methods in Teaching Animal Biology",2,,,,,,,,,,,,"Lecture/Discussion-2 hour(s). Prerequisite(s): Consent of Instructor. Graduate standing. Practical experience in the methods and problems of teaching animal biology. Includes analysis of laboratory exercises, discussion of teaching techniques, grading scientific essays, preparing for and conducting discussion or laboratory sections, formulating quiz and exam questions under instructor supervision. May be repeated up to 3 time(s). (S/U grading only.)"
ABG 396,"Teaching Assistant Training Practicum",1-4,,,,,,,,,,,,"Variable-3-12 hour(s). Prerequisite(s): Consent of Instructor. Graduate standing. May be repeated for credit. (S/U grading only.)"
ABG 401,"Ethics & Professionalism in Animal Biology",2,,,,,,,,,,,,"Discussion-2 hour(s). Restricted to graduate standing; Pass One restricted to Animal Biology graduate group students. Case studies and discussion of ethical and professional issues for animal biologists, including the use of animals in research and teaching, patenting and intellectual property, consulting and conflict of interest, scientific integrity, dealing with the media, and mentoring relationships."
ABI 050A,"Animal Biology Laboratory",2,,,,,,,,,,,,"Lecture/Lab-4 hour(s). Scientific methods for answering questions in animal biology by doing exercises to demonstrate hypothesis testing and reporting, short laboratory, population and field experiments. Maintain notebooks, analyze data, interpret results and write reports."
ABI 050B,"Animal Biology",3,,,,,,,,,,,,"Lecture-3 hour(s). Prerequisite(s): BIS 001A; BIS 001B (can be concurrent). Basic biological disciplines important to an understanding of practical animal biology issues including the evolution of animal groups, genetic mechanisms, animal physiology as it relates to maintenance and production, and aspects of comparative anatomy, behavior and ecology."
ABI 050C,"Animal Biology",3,,,,,,,,,,,,"Lecture-3 hour(s). Prerequisite(s): BIS 001B; BIS 001C; ABI 050A; ABI 050B. Animal management and conservation. Societal concerns arising from management and conservation issues, including economics, aesthetics, regulations, safety, public perspectives and advocacy"
ABI 092,"Intership in Animal Biology",1-12,,,,,,,,,,,,"Internship-3-36 hour(s). Prerequisite(s): Consent of Instructor. Office, laboratory or fieldwork off or on campus in research, governmental regulation, policy making, and private enterprise dealing with animal related issues of production, welfare, pest management, biodiversity and the environment. All requirements of Internship Approval Request form must be met. (P/NP grading only.)"
ABI 098,"Directed Group Study",1-5,,,,,,,,,,,,"Variable-1-5 hour(s). (P/NP grading only.)"
ABI 099,"Special Study for Unergraduate",1-5,,,,,,,,,,,,"Variable-1-5 hour(s). (P/NP grading only.)"
ABI 102,"Animal Biochemistry & Metabolism",5,,,,,,,,,,,,"Lecture-4 hour(s); Discussion-1 hour(s). Prerequisite(s): (CHE 002A, CHE 002B, CHE 008A, CHE 008B) or (CHE A, CHE 118B). Water and biological buffers; thermodynamics of metabolism; structure and function of biomolecules; enzyme kinetics and function; membrane biology; digestion and absorption; carbohydrate metabolism. Not open for credit to students who have completed BIS 102."
ABI 103,"Animal Biochemistry & Metabolism",5,,,,,,,,,,,,"Lecture-4 hour(s); Discussion-1 hour(s). Prerequisite(s): ABI 102 or BIS 102. Physiological function and metabolism of lipids and amino acids; integrative metabolism; biochemical basis for nutrient requirements; structure and function of vitamins; mineral metabolism and requirements. Not open for credit to students who have completed BIS 103."
ABI 187,"Animal Biology Seminar",2,,,,,,,,,,,,"Seminar-1 hour(s); Discussion-1 hour(s). Junior standing. Seminar leading to development of the Major Proposal for the Animal Biology major."
ABI 189,"Senior Practicum",2,,,,,,,,,,,,"Independent Study-6 hour(s). Prerequisite(s): ABI 050A; ABI 050B; ABI 050C; ABI 187; Junior standing. Practicum may be an experimental research project, a library research project or some other creative activity that will serve as a capstone experience for the Animal Biology major. May be repeated up to 1 time(s). (P/NP grading only.)"
ABI 189D,"Senior Practicum Discussion",1,,,,,,,,,,,,"Discussion-1 hour(s). Prerequisite(s): ABI 050A; ABI 050B; ABI 050C; ABI 187; ABI 189 (can be concurrent); Junior standing. Helps prevent or solve problems during the students' senior practicum activity. (P/NP grading only.)"
ABI 192,"Internship in Animal Biology",1-12,,,,,,,,,,,,"Variable. Prerequisite(s): Consent of Instructor. Completion of 84 units. Office, laboratory or fieldwork off or on campus in research, governmental regulations, policy making, and private enterprise dealing with animal related issues of production, welfare, pest management, biodiversity and the environment. All requirements of Intership Approval Request form must be met. (P/NP grading only.)"
ABI 198,"Directed Group Study",1-5,,,,,,,,,,,,"Variable-1-5 hour(s). (P/NP grading only.)"
ABI 199,"Special Study for Advanced Unergratuate",1-5,,,,,,,,,,,,"Variable-1-5 hour(s). (P/NP grading only.)"
ABT 015,"Wood Properties & Fabrication",2,,2,,,,2,2,,2,,,"Lecture/Discussion-1 hour(s); Laboratory-3 hour(s). Study of wood properties and techniques for fabrication with wood. Gain experience working with various woods and woodworking tools for specific applications. (P/NP grading only.)"
ABT 016,"Metal Properties & Fabrication",2,,2,,,,,2,,2,,,"Lecture-1 hour(s); Laboratory-3 hour(s). Study of metal properties and of techniques for fabricating in metal. Physical principles, design considerations, effects of techniques on quality and appearance, and evaluation procedures. Experience in working with metal. (P/NP grading only.)"
ABT 017,"Plastic Properties & Fabrication",2,,2,,,,,2,,2,,,"Lecture-1 hour(s); Laboratory-3 hour(s). Study of the properties of plastic materials and the fundamentals of fabrication techniques. Experience in working with common plastics, with applications to biological systems. (P/ NP grading only.)"
ABT 049,"Field Equipment Operation",2,,2,,,,,2,,2,,,"Lecture-1 hour(s); Laboratory-3 hour(s). Operation, adjustment, and troubleshooting of farm tractors and field equipment. Principles of operation, equipment terminology and uses of tilling, cultivating, thinning, and planting equipment. Typical sequences in cropping practices. (P/NP grading only.)"
ABT 052,"Field Equipment Welding",2,,2,,,,,2,,2,,,"Lecture-1 hour(s); Laboratory-3 hour(s). Prerequisite(s): ABT 016; or Consent of Instructor. Intermediate welding to include hardfacing and inert gas welding. Class projects on repair and fabrication by welding. Troubleshooting and major repair of field equipment. (P/NP grading only.)"
ABT 098,"Directed Group Study",1-5,,1-5,,,,,,,,,,"Variable-1-5 hour(s). Prerequisite(s): Consent of Instructor. (P/NP grading only.)"
ABT 099,"Special Study for Lower Division Students",1-5,,1-5,,,,,,,,,,"Variable. Prerequisite(s): Consent of Instructor. (P/NP grading only.)"
ABT 101,"Engine Technology",3,,3,,,,,3,,3,,,"Lecture-2 hour(s); Laboratory-3 hour(s). Prerequisite(s): Upper division standing or consent of instructor. Principles of 2-stroke cycle, 4-stroke cycle gasoline and 4-stroke cycle diesel engine construction and operation. Engine systems, performance, troubleshooting, and overhaul."
ABT 110,"Irrigation Systems & Water Management",4,,4,4,,,,,4,,,,"Lecture-3 hour(s); Laboratory-3 hour(s). Prerequisite(s): PHY 007A; SSC 100 recommended. Soil and plant aspects of irrigation and drainage. Soil-water principles including water storage and movement, plant response to irrigation, water use by crops, irrigation systems (i.e., micro-irrigation, sprinkler irrigation and surface irrigation), and related salinity and water quality impacts. (Same course as ESM 110, HYD 110.)"
ABT 110L,"Experiments in Food Engineering",2,,2,,,,,2,,2,,2,"Laboratory-6 hour(s). Prerequisite(s): FST 110B (can be concurrent). Use of temperature sensors; measurement of thermal conductivity and heat transfer in foods; refrigeration, freezing, concentration and dehydration of foods."
ABT 121,"Animal Housing & Environment Management",2,,2,,,,,,,,,,"Lecture-2 hour(s). Prerequisite(s): ANS 001 or ANS 002. Optimal structures and environments for animal growth and comfort; heat and moisture transfer principles; heating, cooling, ventilating principles and equipment; animal housing design; environmental regulations and waste management practices."
ABT 142,"Equipment & Technology for Small Farms",2,,2,,,,,2,,2,,,"Lecture-1 hour(s); Laboratory-3 hour(s). Types and characteristics of agricultural equipment and technologies appropriate for small commercial farming. Adjustment and calibration of equipment. Selection of and budgeting for equipment. (Same course as IAD 142.)"
